Date,Open,High,Low,Close,Volume
2020-09-22,429.60,437.76,417.6001,424.23,79580795
2020-09-21,453.13,455.68,407.0700,449.39,109476800
2020-09-18,447.94,451.00,428.8000,442.15,86406819
2020-09-17,415.60,437.79,408.0001,423.43,76779163
2020-09-16,439.87,457.79,435.3100,441.76,72546760
2020-09-15,436.56,461.94,430.7000,449.76,97298228
2020-09-14,380.95,420.00,373.3000,419.62,83020608
2020-09-11,381.94,382.50,360.5000,372.72,60717459
2020-09-10,386.21,398.99,360.5600,371.34,84930608
2020-09-09,356.60,369.00,341.5100,366.28,79465769
2020-09-08,356.00,368.74,329.8800,330.21,115465691
2020-09-04,402.81,428.00,372.0201,418.32,110321885
2020-09-03,407.23,431.80,402.0000,407.00,87596086
2020-09-02,478.99,479.04,405.1206,447.37,96176128
2020-09-01,502.14,502.49,470.5100,475.05,90119419
2020-08-31,444.61,500.14,440.1100,498.32,118374406
2020-08-28,459.02,463.70,437.3000,442.68,100405880
2020-08-27,436.09,459.12,428.5000,447.75,118465215
2020-08-26,412.00,433.20,410.7300,430.63,71196910
2020-08-25,394.98,405.59,393.6000,404.67,53294465
